team_id,team_name,short_name,team_code,country_id,country,country_code,founded_year,stadium,club_colors,website,address,coach_id,coach_name,coach_nationality,coach_birth_date,crest_url
1,1. FC Köln,1. FC Köln,KOE,2088,Germany,DEU,1948,RheinEnergieSTADION,Red / White,http://www.fc-koeln.de,Franz-Kremer-Allee 1 Köln 50937,,Unknown,Unknown,,https://crests.football-data.org/1.png
28,1. FC Union Berlin,Union Berlin,UNB,2088,Germany,DEU,1906,Stadion An der Alten Försterei,Red / White,http://www.fc-union-berlin.de,An der Wuhlheide 263 Berlin 12555,,Unknown,Unknown,,https://crests.football-data.org/28.png
15,1. FSV Mainz 05,Mainz,M05,2088,Germany,DEU,1905,Opel Arena,Red / White,http://www.mainz05.de,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,,Unknown,Unknown,,https://crests.football-data.org/15.png
98,AC Milan,Milan,MIL,2114,Italy,ITA,1899,Stadio Giuseppe Meazza,Red / Black,http://www.acmilan.com,Via Filippo Turati 3 Milano 20121,,Unknown,Unknown,,https://crests.football-data.org/98.png
5911,AC Monza,Monza,MON,2114,Italy,ITA,1912,Stadio Comunale Brianteo,Red / White,http://www.monza1912.it,"Via Ragazzi del '99, 14 Monza 20900",,Unknown,Unknown,,https://crests.football-data.org/5911.png
99,ACF Fiorentina,Fiorentina,FIO,2114,Italy,ITA,1926,Stadio Artemio Franchi,Purple / White,http://www.acffiorentina.it,Viale Manfredo Fanti 4 Firenze 50137,,Unknown,Unknown,,https://crests.football-data.org/99.png
678,AFC Ajax,Ajax,AJA,2163,Netherlands,NLD,1900,Johan Cruyff ArenA,Red / White,http://www.ajax.nl,ArenA Boulevard 29 Amsterdam 1101 AX,,Unknown,Unknown,,https://crests.football-data.org/678.png
1044,AFC Bournemouth,Bournemouth,BOU,2072,England,ENG,1890,Vitality Stadium,Red / Black,http://www.afcb.co.uk,"Dean Court, Kings Park Bournemouth BH7 7AF",,Unknown,Unknown,,https://crests.football-data.org/bournemouth.png
548,AS Monaco FC,Monaco,ASM,2152,Monaco,MCO,1919,Stade Louis II.,Red / White,http://www.asmonaco.com,Avenue des Castellans Monaco 98000,,Unknown,Unknown,,https://crests.football-data.org/548.png
100,AS Roma,Roma,ROM,2114,Italy,ITA,1927,Stadio Olimpico,Maroon / Orange / White,http://www.asroma.it,"Via di Trigoria km. 3,600 Roma 00128",,Unknown,Unknown,,https://crests.football-data.org/100.png
57,Arsenal FC,Arsenal,ARS,2072,England,ENG,1886,Emirates Stadium,Red / White,http://www.arsenal.com,75 Drayton Park London N5 1BU,,Unknown,Unknown,,https://crests.football-data.org/57.png
58,Aston Villa FC,Aston Villa,AVL,2072,England,ENG,1872,Villa Park,Claret / Sky Blue,http://www.avfc.co.uk,Villa Park Birmingham B6 6HE,,Unknown,Unknown,,https://crests.football-data.org/58.png
102,Atalanta BC,Atalanta,ATA,2114,Italy,ITA,1904,Stadio Atleti Azzurri d'Italia,Black / Blue,http://www.atalanta.it,"Corso Europa, 46, Zingonia Ciserano 24040",,Unknown,Unknown,,https://crests.football-data.org/102.png
