id,name,shortName,tla,founded,venue,clubColors,website,address,area.id,area.name,coach.name,crest
57,Arsenal FC,Arsenal,ARS,1886.0,Emirates Stadium,Red / White,http://www.arsenal.com,75 Drayton Park London N5 1BU,2072,England,Unknown,https://crests.football-data.org/57.png
58,Aston Villa FC,Aston Villa,AVL,1872.0,Villa Park,Claret / Sky Blue,http://www.avfc.co.uk,Villa Park Birmingham B6 6HE,2072,England,Unknown,https://crests.football-data.org/58.png
61,Chelsea FC,Chelsea,CHE,1905.0,Stamford Bridge,Royal Blue / White,http://www.chelseafc.com,Fulham Road London SW6 1HS,2072,England,Unknown,https://crests.football-data.org/61.png
62,Everton FC,Everton,EVE,1878.0,Goodison Park,Blue / White,http://www.evertonfc.com,Goodison Park Liverpool L4 4EL,2072,England,Unknown,https://crests.football-data.org/62.png
63,Fulham FC,Fulham,FUL,1879.0,Craven Cottage,White / Black,http://www.fulhamfc.com,"Craven Cottage, Stevenage Road London SW6 6HH",2072,England,Unknown,https://crests.football-data.org/63.png
64,Liverpool FC,Liverpool,LIV,1892.0,Anfield,Red / White,http://www.liverpoolfc.tv,Anfield Road Liverpool L4 0TH,2072,England,Unknown,https://crests.football-data.org/64.png
65,Manchester City FC,Man City,MCI,1880.0,Etihad Stadium,Sky Blue / White,https://www.mancity.com,SportCity Manchester M11 3FF,2072,England,Unknown,https://crests.football-data.org/65.png
66,Manchester United FC,Man United,MUN,1878.0,Old Trafford,Red / White,http://www.manutd.com,Sir Matt Busby Way Manchester M16 0RA,2072,England,Unknown,https://crests.football-data.org/66.png
67,Newcastle United FC,Newcastle,NEW,1881.0,St. James' Park,Black / White,http://www.nufc.co.uk,Sports Direct Arena Newcastle upon Tyne NE1 4ST,2072,England,Unknown,https://crests.football-data.org/67.png
71,Sunderland AFC,Sunderland,SUN,1879.0,Stadium of Light,Red / White,http://www.safc.com,The Sunderland Stadium of Light Sunderland SR5 1SU,2072,England,Unknown,https://crests.football-data.org/71.png
73,Tottenham Hotspur FC,Tottenham,TOT,1882.0,Tottenham Hotspur Stadium,Navy Blue / White,http://www.tottenhamhotspur.com,"Bill Nicholson Way, 748 High Road London N17 0AP",2072,England,Unknown,https://crests.football-data.org/73.png
322,Hull City AFC,Hull City,HUL,1904.0,Kingston Communications Stadium,Orange / Black,http://www.hullcitytigers.com,Walton Street Hull HU3 6HU,2072,England,Unknown,https://crests.football-data.org/322.png
341,Leeds United FC,Leeds United,LEE,1904.0,Elland Road,White / Blue,http://www.leedsunited.com,Elland Road Leeds LS11 0ES,2072,England,Unknown,https://crests.football-data.org/341.png
349,Ipswich Town FC,Ipswich Town,IPS,1887.0,Portman Road Stadium,Blue / White,http://www.itfc.co.uk,Portman Road Ipswich IP1 2DA,2072,England,Unknown,https://crests.football-data.org/349.png
